t,p
293.824,0
294.55,0
295.191,0
295.757,0
296.256,0
296.697,0
297.085,0
297.428,0
297.731,0
297.998,0
298.233,0
298.441,0
298.625,0
298.786,0
298.929,0
299.055,0
299.166,0
299.264,0
299.351,0
299.427,0
299.495,0
299.554,0
299.607,0
299.653,0
299.694,0
299.73,0
299.762,0
299.79,0
299.814,0
299.836,0
299.855,0
299.872,0
299.887,0
299.901,0
299.912,408446
299.923,1.00357e+06
299.932,1.59875e+06
299.94,2.19399e+06
299.947,2.78926e+06
304.947,3.38457e+06
304.365,0
303.851,0
303.398,0
302.998,0
302.646,0
302.334,0
302.06,0
301.817,0
301.604,0
301.415,0
301.249,0
301.102,0
300.972,0
300.858,0
300.757,0
300.668,0
300.589,0
300.52,0
300.459,0
300.405,0
300.357,0
300.315,0
300.278,0
300.245,0
300.216,0
300.191,0
300.169,0
300.149,0
300.131,0
300.116,0
300.102,0
300.09,0
300.08,0
300.07,0
300.062,403140
300.055,999074
300.048,1.59497e+06
300.043,2.19083e+06
300.038,2.78666e+06
305.038,3.38246e+06
